CRR-012 changed implementation-source size audit: 44 files
 500 effective |  18 delta (+9/-9) | size=PASS | delta=PASS | autobyteus-server-ts/src/application-platform/launch-configuration/application-launch-configuration-service.ts
 458 effective | 102 delta (+41/-61) | size=PASS | delta=PASS | autobyteus-ts/src/llm/supported-model-definitions.ts
 453 effective |  70 delta (+17/-53) | size=PASS | delta=PASS | autobyteus-ts/src/llm/llm-factory.ts
 427 effective |  11 delta (+11/-0) | size=PASS | delta=PASS | autobyteus-ts/src/llm/utils/llm-config.ts
 424 effective |  24 delta (+17/-7) | size=PASS | delta=PASS | autobyteus-ts/src/agent/loop/llm-phase.ts
 376 effective |   8 delta (+4/-4) | size=PASS | delta=PASS | autobyteus-ts/src/agent/loop/tool-phase.ts
 357 effective |  19 delta (+18/-1) | size=PASS | delta=PASS | autobyteus-server-ts/src/agent-team-execution/services/team-agent-event-adapter.ts
 307 effective |   9 delta (+8/-1) | size=PASS | delta=PASS | autobyteus-web/services/agentStreaming/protocol/messageTypes.ts
 294 effective |  16 delta (+14/-2) | size=PASS | delta=PASS | autobyteus-web/services/agentStreaming/handlers/agentStatusHandler.ts
 252 effective |  22 delta (+19/-3) | size=PASS | delta=PASS | autobyteus-ts/src/agent/streaming/events/stream-event-payload-lifecycle.ts
 243 effective |   9 delta (+9/-0) | size=PASS | delta=PASS | autobyteus-server-ts/src/application-platform/runtime/create-application-orchestration-services.ts
 231 effective |   4 delta (+2/-2) | size=PASS | delta=PASS | autobyteus-ts/src/agent/loop/agent-turn-runner.ts
 224 effective |   3 delta (+1/-2) | size=PASS | delta=PASS | autobyteus-ts/src/llm/api/gemini-llm.ts
 204 effective |  14 delta (+11/-3) | size=PASS | delta=PASS | autobyteus-ts/src/agent/events/notifiers.ts
 188 effective |   1 delta (+1/-0) | size=PASS | delta=PASS | autobyteus-application-sdk-contracts/src/execution-resources.ts
 175 effective |   4 delta (+2/-2) | size=PASS | delta=PASS | autobyteus-ts/src/llm/api/openai-compatible-llm.ts
 170 effective |  39 delta (+33/-6) | size=PASS | delta=PASS | autobyteus-server-ts/src/application-orchestration/services/application-run-binding-launch-service.ts
 158 effective |   2 delta (+1/-1) | size=PASS | delta=PASS | autobyteus-ts/src/agent/compaction/compaction-runtime-reporter.ts
 157 effective |  67 delta (+56/-11) | size=PASS | delta=PASS | autobyteus-server-ts/src/token-usage/pricing/token-price-config-provider.ts
 157 effective |  25 delta (+23/-2) | size=PASS | delta=PASS | autobyteus-server-ts/src/application-platform/launch-configuration/application-launch-host-capability-validator.ts
