status	change_kind	path	owner	current_round_result
 M	updated	autobyteus-web/components/applications/setup/__tests__/ApplicationTeamLaunchProfileEditor.spec.ts	api_e2e_engineer	pass_focused
 M	updated	autobyteus-web/components/mobile/__tests__/MobileArtifacts.spec.ts	api_e2e_engineer	pass_dirty_selection_before_IR025_or_APIREV021_focused
 M	updated	autobyteus-web/components/mobile/__tests__/MobileContextSelectionRegression.spec.ts	api_e2e_engineer	pass_dirty_selection_before_IR025_or_APIREV021_focused
 M	updated	autobyteus-web/components/mobile/__tests__/MobileTeamMessages.spec.ts	api_e2e_engineer	pass_dirty_selection_before_IR025_or_APIREV021_focused
 M	updated	autobyteus-web/components/mobile/__tests__/MobileUxRefinement.spec.ts	api_e2e_engineer	pass_focused
 M	updated	autobyteus-web/components/workspace/config/__tests__/TeamRunConfigForm.spec.ts	api_e2e_engineer	pass_focused
 M	updated	autobyteus-web/components/workspace/history/__tests__/HistoricalTeamLazyHydration.integration.spec.ts	api_e2e_engineer	pass_dirty_selection_before_IR025_or_APIREV021_focused
 M	updated	autobyteus-web/components/workspace/history/__tests__/WorkspaceAgentRunsTreePanel.regressions.spec.ts	api_e2e_engineer	pass_dirty_selection_before_IR025_or_APIREV021_focused
 M	updated	autobyteus-web/components/workspace/history/__tests__/WorkspaceAgentRunsTreePanel.spec.ts	api_e2e_engineer	pass_dirty_selection_before_IR025_or_APIREV021_focused
 M	updated	autobyteus-web/components/workspace/history/__tests__/WorkspaceHistoryWorkspaceSection.spec.ts	api_e2e_engineer	pass_dirty_selection_before_IR025_or_APIREV021_focused
 M	updated	autobyteus-web/components/workspace/running/__tests__/RunningTeamRow.spec.ts	api_e2e_engineer	pass_focused
 M	updated	autobyteus-web/components/workspace/team/__tests__/AgentTeamEventMonitor.spec.ts	api_e2e_engineer	fail_API-F-014
 M	updated	autobyteus-web/components/workspace/team/__tests__/TeamCommunicationPanel.spec.ts	api_e2e_engineer	pass_focused
 M	updated	autobyteus-web/components/workspace/team/__tests__/TeamDelegatedTasksSection.spec.ts	api_e2e_engineer	pass_dirty_selection_before_IR025_or_APIREV021_focused
 M	updated	autobyteus-web/components/workspace/team/__tests__/TeamOverviewPanel.spec.ts	api_e2e_engineer	pass_dirty_selection_before_IR025_or_APIREV021_focused
 M	updated	autobyteus-web/components/workspace/team/__tests__/TeamWorkspaceView.spec.ts	api_e2e_engineer	pass_dirty_selection_before_IR025_or_APIREV021_focused
 M	updated	autobyteus-web/composables/__tests__/useWorkspaceHistorySelectionActions.spec.ts	api_e2e_engineer	pass_dirty_selection_before_IR025_or_APIREV021_focused
 M	updated	autobyteus-web/composables/__tests__/useWorkspaceHistoryTreeState.spec.ts	api_e2e_engineer	pass_dirty_selection_before_IR025_or_APIREV021_focused
 M	updated	autobyteus-web/composables/mobile/__tests__/useMobileFocusedRunIdentity.spec.ts	api_e2e_engineer	pass_dirty_selection_before_IR025_or_APIREV021_focused
 M	updated	autobyteus-web/composables/mobile/__tests__/useMobileWorkCatalog.spec.ts	api_e2e_engineer	pass_dirty_selection_before_IR025_or_APIREV021_focused
 M	updated	autobyteus-web/services/agentStreaming/__tests__/teamStreamMemberContextResolver.spec.ts	api_e2e_engineer	pass_dirty_selection_before_IR025_or_APIREV021_focused
 M	updated	autobyteus-web/services/agentStreaming/__tests__/teamTaskTeamExecutionProjection.spec.ts	api_e2e_engineer	pass_dirty_selection_before_IR025_or_APIREV021_focused
 M	updated	autobyteus-web/services/runHydration/__tests__/teamRunContextHydrationService.spec.ts	api_e2e_engineer	pass_dirty_selection_before_IR025_or_APIREV021_focused
 M	updated	autobyteus-web/services/runOpen/__tests__/teamRunOpenCoordinator.spec.ts	api_e2e_engineer	pass_dirty_selection_before_IR025_or_APIREV021_focused
 M	updated	autobyteus-web/stores/__tests__/mobileWorkStore.spec.ts	api_e2e_engineer	pass_dirty_selection_before_IR025_or_APIREV021_focused
 M	updated	autobyteus-web/stores/__tests__/runHistoryNavigationProjection.spec.ts	api_e2e_engineer	pass_dirty_selection_before_IR025_or_APIREV021_focused
 M	updated	autobyteus-web/stores/__tests__/runHistoryTeamExecutionRows.spec.ts	api_e2e_engineer	pass_dirty_selection_before_IR025_or_APIREV021_focused
 M	updated	autobyteus-web/stores/__tests__/runHistoryTeamRows.spec.ts	api_e2e_engineer	pass_dirty_selection_before_IR025_or_APIREV021_focused
 M	updated	autobyteus-web/utils/__tests__/teamActiveExecutionMembers.spec.ts	api_e2e_engineer	pass_dirty_selection_before_IR025_or_APIREV021_focused
 M	updated	autobyteus-web/utils/__tests__/teamDelegatedTaskEntries.spec.ts	api_e2e_engineer	pass_dirty_selection_before_IR025_or_APIREV021_focused
??	added	autobyteus-web/test-support/	api_e2e_engineer	pass_dirty_selection_before_IR025_or_APIREV021_focused
