sample	timestamp	renderer_cpu	backend_cpu	gpu_cpu	health_status	health_seconds
1	2026-08-08T19:59:10Z	23.2	0.9	6.2	200	0.000803
2	2026-08-08T19:59:11Z	8.3	1.1	9.8	200	0.000748
3	2026-08-08T19:59:12Z	7.6	1.7	9.8	200	0.000734
4	2026-08-08T19:59:13Z	8.2	0.9	10.2	200	0.000792
5	2026-08-08T19:59:14Z	7.0	0.7	9.2	200	0.000845
6	2026-08-08T19:59:15Z	18.4	6.7	7.8	200	0.000656
7	2026-08-08T19:59:16Z	8.2	1.3	10.3	200	0.000896
8	2026-08-08T19:59:17Z	10.1	2.2	13.7	200	0.000698
9	2026-08-08T19:59:18Z	9.4	1.8	11.8	200	0.000728
10	2026-08-08T19:59:19Z	8.0	1.0	10.8	200	0.000790
11	2026-08-08T19:59:20Z	20.7	2.6	8.2	200	0.000880
12	2026-08-08T19:59:21Z	10.0	1.0	10.1	200	0.000803
13	2026-08-08T19:59:22Z	28.7	1.4	7.2	200	0.000773
14	2026-08-08T19:59:24Z	16.7	0.6	7.2	200	0.000913
15	2026-08-08T19:59:25Z	17.1	0.7	10.1	200	0.000818
16	2026-08-08T19:59:26Z	10.2	2.3	11.4	200	0.000682
17	2026-08-08T19:59:27Z	9.4	2.2	12.7	200	0.000757
18	2026-08-08T19:59:28Z	25.4	1.5	8.1	200	0.002475
19	2026-08-08T19:59:29Z	10.2	1.5	11.3	200	0.000744
20	2026-08-08T19:59:30Z	14.1	7.9	9.5	200	0.000668
21	2026-08-08T19:59:31Z	8.3	1.2	10.5	200	0.000708
22	2026-08-08T19:59:32Z	7.3	1.2	9.0	200	0.000795
23	2026-08-08T19:59:33Z	8.7	1.3	11.6	200	0.000719
24	2026-08-08T19:59:34Z	8.0	1.7	10.5	200	0.000783
25	2026-08-08T19:59:35Z	10.6	10.4	10.0	200	0.000793
26	2026-08-08T19:59:36Z	24.3	1.0	8.6	200	0.000759
27	2026-08-08T19:59:37Z	13.3	1.4	10.4	200	0.000737
28	2026-08-08T19:59:38Z	8.7	1.1	11.2	200	0.000759
29	2026-08-08T19:59:40Z	11.6	2.5	12.3	200	0.000832
30	2026-08-08T19:59:41Z	36.7	2.1	12.5	200	0.000761
